09006600121707221222163988V,113.80491420761138,23.130075918481506,1267013600,263114600,
0900660012191107112922494GR,113.7145466787717,23.06205643470508,1266009000,262300800,
09006600011607071801405258Z,113.70116272177843,22.81533897453006,1265860000,259332300,金捷路
09006600011607160932292369P,114.012339554761,22.923427976300108,1269320900,260638500,板湖路
09006600011607141712575568Z,113.79107664536963,22.805022191811172,1266859700,259211100,振兴街
09006600011607081536314649P,114.08100816659861,23.015187372046984,1270087500,261740800,桥光大道
0900660012191027083852801GN,113.80984048686766,23.097668647551732,1267068600,262727400,桥东路
09006600011608290941378478Z,113.8577089466043,22.937983548024366,1267599600,260812000,振马路
09006600011611211026273088Z,113.96306653873175,23.097278337502818,1268772400,262726000,向西工业一路
09006600011607091303262398Z,113.74597279039347,22.781898292037038,1266357400,258938400,振发路
09006600011608291212234058Z,113.82709494984539,22.97753997775302,1267260900,261281700,同欣路
09006600011607301228305038Z,113.67413524249842,22.91639800044759,1265558500,260548600,南兴路
09006600011608111040354148Z,113.91978292346667,22.92469530809387,1268290000,260646300,洋坑塘新围路
01006600001312061427129715M,114.12205166418546,22.743728035599066,1270542900,258482600,Ｘ２３１
09006600011607191001093898Z,113.60460781577268,22.917905267527413,1264783200,260567600,Ｓ３
09006600011608051800125839P,114.01927095915637,23.059699329099537,1269399200,262277600,企桥路
0900660012191029130516911HN,113.77932746290602,23.021425445620018,1266729300,261815900,东城东路
09006600011607271153480489R,114.0744720980664,22.78255803287704,1270014700,258942600,道新路
09006600121910221101357218A,113.80661423779614,23.05322507596003,1267032900,262192700,银凯路
09006600011607171135027292F,113.7508437952427,22.973276318571223,1266412400,261238700,环村路
09006600011608111345295008Z,113.97862858449673,22.96189166812172,1268945800,261101000,金河路
09006600001408261645597296M,113.74189847734765,22.937829929543426,1266312500,260811700,水濂景观路
09006600011607141004526309R,114.05852041135206,22.798089925979173,1269837700,259127800,浦龙西三路
09006600011607241007389549P,113.95385512447534,23.065316074994428,1268670000,262338400,石横大道
09006600011607311109434579P,114.01445240386165,23.04272117929063,1269345000,262072600,
09006600011607081646336989P,114.03893402825027,23.0240134605007,1269617400,261842400,纬四路
09006600011609071003200688Z,113.8808983340505,22.951382430495695,1267856000,260974000,科技十路
09006600011608010944280338Z,113.67867350227523,22.944098222725984,1265610600,260880500,彩云路
09006600001408301245191876M,113.8559318877809,22.867395834304837,1267579000,259962700,Ｘ２４１
09006600011607191053247329R,114.14114102946898,22.786907496702646,1270755200,258998300,Ｘ２３３
09006600011607281210405498Z,113.85630430896212,22.955579135020617,1267583600,261022600,兴园路
09006600121910211258380732R,113.67579529334289,22.983287147261738,1265576700,261352700,
09006600011607300932286258Z,113.67952571046592,22.92979389251091,1265619700,260709500,环莞快速
0900660012191102111221629GR,113.71395984524838,23.05920966291286,1266002300,262266600,Ｇ１０７
01006600001312061259074865T,114.06151259415316,22.900844793565202,1269870400,260362200,南城路
09006600011607221753446919P,113.9591879988268,23.054328517001895,1268730300,262207600,东部快速干线
01006600001312061535088715M,114.13041944061496,22.732542634728745,1270636000,258347100,凤平路
09006600011608060942037258Z,113.67201494077905,22.944247466479908,1265534200,260883300,
09006600011608011530474218Z,113.66286849981661,23.017989934102825,1265432100,261772500,小河路
09006600011609111052301489P,113.84699858383975,23.08084095442074,1267480700,262527800,
09006600121707230942242349B,113.78587747308445,23.093223206269652,1266802400,262677900,
09006600011607311224472859P,114.0018700664732,23.03888146448917,1269205400,262028100,
09006600121910111334101135Q,113.77810581848229,23.097986117469755,1266714900,262736800,崇焕西路
09006600011608131428280799P,114.01886627865346,22.957216953543067,1269393000,261044700,土塘第一工业路
09006600121910120935194155Q,113.71663486535446,23.084050922345604,1266032200,262566300,振兴东八横路
09006600011607051005118638Z,113.70711202501579,22.774111642234725,1265926000,258837600,新园南路
09006600011607031705503548Z,113.73897908406592,22.774517915031762,1266280500,258849200,建安路
09006600011608291037389468Z,113.84303893464615,23.00198334991871,1267436100,261577800,金富路
0900660012191027164807224GN,113.7832690038685,23.117390315898522,1266773000,262969000,石碣互通立交
09006600011607221034057488Z,113.65088953894583,22.838004844368314,1265298200,259609800,
09006600121911071612221178A,113.65107456061708,23.000056909588213,1265300500,261558600,五花街
09006600001409021513255995M,113.94457493206566,22.90463987406445,1268567300,260404700,
09006600001409031058301905M,113.96556284557433,22.90766502195966,1268799700,260445400,
09006600011607251213231829P,113.92303907231341,23.09457862794104,1268327600,262689400,商业路
09006600011607231552402429R,114.19170257563077,22.8200254457703,1271317600,259391900,滨康路
09006600011608131540197279P,114.02378823237325,22.96419681461822,1269449700,261126800,塘东路
09006600011607041027350538Z,113.65199709274779,22.82882028534492,1265310700,259499800,
09006600011608061005176558Z,113.70487950754136,22.961337998543684,1265900900,261088000,三横南路
09006600011607221123580048Z,113.65349068745607,22.844378821725,1265328400,259686400,白沙大路南
09006600011608191312096098Z,113.94403988842438,22.99449474255328,1268560500,261485200,
09006600011608061332323559P,113.98811777543406,22.942074110244587,1269051600,260863700,环常南路
09006600011607241038483438Z,113.83004661909163,22.90581700699917,1267292400,260417800,Ｇ１０７
09006600121910111338150435Q,113.75351910606604,23.08809835572249,1266441500,262620800,颐龙东路
09006600011607090858183658Z,113.73916220987603,22.78497600982237,1266282200,258975000,复兴路
09006600121910231533034442R,113.7371255499832,23.016695150535647,1266259200,261760100,元美新元路
09006600011607311534554159P,113.99085352537449,23.027790316637837,1269081500,261893900,
09006600011609060953582149P,114.02549299130898,23.012985485120097,1269468900,261713900,合兴路
